Title of Article/Paper,Author(s),Year of Publishing,Source Website,URL,Team Member Name,Status (Read / To Read),
Explainable AI for Credit Risk Assessment: A Data-Driven Approach to Transparent Lending Decisions,Abir Ahmed,2024,Google Scholar,https://al-kindipublishers.org/index.php/jefas/article/view/10157/9089,Priyanka Jain,To Read,
Development and Application of Natural Language Processing on Unstructured Data in Hypertension: A Scoping Review,Jiancheng Ye,2025,Google Scholar,https://www.medrxiv.org/content/10.1101/2024.02.27.24303468v2,Priyanka Jain,To Read,
Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Patrick Lewis et al.,2020,NeurIPS Proceedings (arXiv version),https://arxiv.org/abs/2005.11401,Kiran Upadhyay,To Read,
REALM: Retrieval-Augmented Language Model Pre-Training,Kevin Guu et al.,2020,ICML (PMLR),https://proceedings.mlr.press/v119/guu20a.html,Kiran Upadhyay,To Read,
Atlas: Few-shot Learning with Retrieval Augmented Language Models,Gautier Izacard et al.,2023,Journal of Machine Learning Research (JMLR),https://www.jmlr.org/papers/v24/23-0037.html,Kiran Upadhyay,To Read,
Improving Language Models by Retrieving from Trillions of Tokens,Sebastian Borgeaud et al.,2022,ICML (PMLR),https://proceedings.mlr.press/v162/borgeaud22a.html,Kiran Upadhyay,To Read,
Leveraging Passage Retrieval with Generative Models for Open Domain Question Answering,Gautier Izacard et al.,2021,EACL (ACL Anthology),https://aclanthology.org/2021.eacl-main.74/,Kiran Upadhyay,To Read,
BioBERT: a pre-trained biomedical language representation model for biomedical text mining,Jinhyuk Lee et al.,2019,Bioinformatics (Oxford University Press),https://doi.org/10.1093/bioinformatics/btz682,Kiran Upadhyay,To Read,
SciBERT: A Pretrained Language Model for Scientific Text,Iz Beltagy et al.,2019,EMNLP (arXiv version),https://arxiv.org/abs/1903.10676,Kiran Upadhyay,To Read,
ClinicalBERT: Modeling Clinical Notes and Predicting Hospital Readmission,Kexin Huang et al.,2019,arXiv (CHIL Workshop),https://arxiv.org/abs/1904.05342,Kiran Upadhyay,To Read,
Survey of Hallucination in Natural Language Generation,Ziwei Ji et al.,2023,ACM Computing Surveys,https://doi.org/10.1145/3571730,Kiran Upadhyay,To Read,
A systematic review of large language model (LLM) evaluations in clinical medicine  https://link.springer.com/article/10.1186/s12911-025-02954-4 Author list: Sina Shool, Sara Adimi, Reza Saboori Amleshi, Ehsan Bitaraf, Reza Golpira & Mahmood Tara, Divya, To Read,
